Store,Address,Phone,lat,lon,In District
V & M Pizzatown,"85 5th Ave., Brooklyn, NY",(718) 789-4040,40.680012,-73.97786,Yes
Al Di La Trattoria,"248 5th Ave., Brooklyn, NY",(718) 783-4565,40.6752897,-73.9813928,Yes
La Villa Pizzeria & Restaurant,"261 5th Ave., Brooklyn, NY",(718) 499-9888,40.6743832,-73.9817699,Yes
Tutt Appost,"289 5th Ave., Brooklyn, NY",,40.67356805,-73.98232555,Yes
Two Boots Brooklyn,"304 2nd St., Brooklyn, NY",(718) 499 3253,40.67378193975904,-73.98378050602409,Yes
Terre BK,"341 5th Ave., Brooklyn, NY",(718) 788-2288,40.6719617,-73.9837809,Yes
Joe’s Pizza,"349 5th Ave., Brooklyn, NY",(347) 725-4595,40.6718133,-73.9839044,Yes
Peppinos,"469 5th Ave., Brooklyn, NY",(718) 768-7244,40.6681833,-73.9869266,Yes
Joe’s Pizza,"483 5th Ave., Brooklyn, NY",(718) 369-2634,40.6676601,-73.9873611,Yes
Princess Pizza,"535 5th Ave., Brooklyn, NY",(718) 788-9111,40.6659936,-73.9887315,Yes
Domino’s,"554 5th Ave., Brooklyn, NY",(718) 972-3733,40.6654963,-73.989591,Yes
Lenny’s Pizza,"594 5th Ave., Brooklyn, NY",(718) 788-8928,40.6643749,-73.9905189,Yes
El Viejo Yayo Restaurant,"36 5th Ave., Brooklyn, NY",(718) 622-8922,40.6819614,-73.9768803,Yes
BK9,"62 5th Ave., Brooklyn, NY",(718) 789-2176,40.6811967,-73.9773859,Yes
Bogota Latin Bistro,"141 5th Ave., Brooklyn, NY",(718) 230-3806,40.6781856,-73.9790909,Yes
Negril BK,"256 5th Ave., Brooklyn, NY",(347) 721-3801,40.67505345,-73.98173819603758,Yes
El Viejo Yayo II Restaurant,"317 9th St., Brooklyn, NY",(718) 965-7299,40.669129,-73.9857877,Yes
Colombia in Park Slope,"376 5th Ave., Brooklyn, NY",(718) 369-2020,40.6712721,-73.9847619,Yes
Stella's Carribean,"559 5th Ave., Brooklyn, NY",,40.6653722,-73.9892814,Yes
Empanada Loca,"606 5th Ave., Brooklyn, NY",(718) 369 2118,40.6639276,-73.9909626,Yes
Palo Santo,"652 Union Street, Brooklyn, NY",(718) 636-6311,40.6768229,-73.9819324,Yes
Miriam Restaurant & Wine Bar,"79 5th Ave., Brooklyn, NY",(718) 622-2250,40.6801677,-73.9777459,Yes
Tava Turkish Grill,"318 5th Ave., Brooklyn, NY",(718) 499 5600,40.673112,-73.9832132,Yes
Mashawi Grill NY,"450 5th Ave., Brooklyn, NY",,40.6690603,-73.98670428308823,Yes
Besito Restaurant & Bar,"50 5th Ave., Brooklyn, NY",(718) 230-1703,40.681618,-73.9770909,Yes
Nacho Macho,"82 5th Ave., Brooklyn, NY",(718) 622-8282,40.680539,-73.9778343,Yes
Miti Miti Modern Mexican,"138 5th Ave., Brooklyn, NY",(718) 230-3805,40.6786532,-73.979114,Yes
Maya Taqueria,"168 5th Ave., Brooklyn, NY",(718) 398-6292,40.6776386,-73.9798024,Yes
Taqueria El Patron MExican Grill,"191 5th Ave., Brooklyn, NY",,40.6767912,-73.9800357,Yes
Mezcal’s,"223 5th Ave., Brooklyn, NY",(718) 783-3276,40.6758313,-73.9807001,Yes
Calexico,"280 5th Ave., Brooklyn, NY",(347) 254-7644,40.67425455,-73.98238456614482,Yes
Chela Modern Mexican,"408 5th Ave., Brooklyn, NY",(718) 788-1137,40.6702776,-73.9855774,Yes
Fatty Daddy Taco,"310 9th St., Brooklyn, NY",(718) 499-8226,40.6691449,-73.9866074,Yes
Nuevo Mexico,"489 5th Ave., Brooklyn, NY",(718) 832-0050,40.66749275,-73.98740022879696,Yes
La Fondita,"557 5th Ave., Brooklyn, NY",,40.6654047,-73.9892489,Yes
El Nopal Restaurant & Juice Bar,"631 5th Ave., Brooklyn, NY",(718) 541-2732,40.6631577,-73.9913238,Yes
Shaking Crab,"230 5th Ave., Brooklyn, NY",(929) 337-6140,40.6757312,-73.9810959,Yes
Fjord Fish Market,"249 5th Ave., Brooklyn, NY",,40.6748,-73.9814174,Yes
Bar Crudo Oyster Bar,"412 5th Ave., Brooklyn, NY",(718) 701-1894,40.6701734,-73.9856613,Yes
Ocean Fish Market,"413 5th Ave., Brooklyn, NY",(718) 499-1454,40.6699931,-73.9854265,Yes
The V Spot,"156 5th Ave., Brooklyn, NY",(718) 622-2275,40.6780704,-73.9795019,Yes
Key Food,"120 5th Ave., Brooklyn, NY",(718) 783-9053,40.67947075,-73.97892358578926,Yes
O live Brooklyn,"140 5th Ave., Brooklyn, NY",(718) 783-1680,40.6785782,-73.9791653,Yes
Fleisher’s Grass-Fed & Organic Meats,"192 5th Ave., Brooklyn, NY",(718) 298-MOOO,40.6769569,-73.9802604,Yes
Associated Supermarket,"216 5th Ave., Brooklyn, NY",(718) 789-4499,40.6761424,-73.98096198922048,Yes
Russo’s Mozzarella & Pasta Corp.,"312 5th Ave., Brooklyn, NY",(718) 369-2874,40.6732205,-73.9831189,Yes
Down to Earth Farmer's Market Park Slope,"326-344 5th Ave., Brooklyn, NY",,40.67249477777778,-73.98340633333333,Yes
Emporium Fresh Market,"409 5th Ave., Brooklyn, NY",,40.6700005,-73.98523916070195,Yes
Food Town,"409 5th Ave, Brooklyn, NY",,40.6700005,-73.98523916070195,Yes
Park Beer Store,"302 9th St., Brooklyn, NY",(718) 369-1115,40.6691099,-73.9865411,Yes
Steve’s C Town 9th Street Market,"327 9th St., Brooklyn, NY",(718) 965-9765,40.66882113513513,-73.98537572972972,Yes
Awesome Organic Market,"493 5th Ave., Brooklyn, NY",(718) 788-3663,40.6673954,-73.9875825,Yes
Prospect Market,"595 5th Ave., Brooklyn, NY",(718) 788-9100,40.6642798,-73.99000939037623,Yes
Jubilat Provisions,"608 5th Ave., Brooklyn, NY",(718) 768-9676,40.6638429,-73.9910411,Yes
Marketplace by Keyfoods,"617 5th Ave., Brooklyn, NY",(718) 499-7523,40.6636424,-73.9908202,Yes
Sip Fine Wine,"67 5th Ave., Brooklyn, NY",(718) 638-6105,40.6806102,-73.977449,Yes
Sterling Grapes and Grains,"115 5th Ave., Brooklyn, NY",(718) 789-9521,40.6791408,-73.9784399,Yes
Brooklyn Wine Co.,"205 5th Ave., Brooklyn, NY",(718) 636-9463,40.6764818,-73.9802441,Yes
Good Wine,"327 5th Ave., Brooklyn, NY",(718) 499-2392,40.6724383,-73.9833924,Yes
Primetime Wines & Liquors,"427 5th Ave., Brooklyn, NY",(718) 788-8181,40.6695327,-73.9858135,Yes
Zula Wines & Spirits,"487 5th Ave, Brooklyn, NY",(718) 832-5101,40.6675921,-73.9874179,Yes
Park Slope Wine & Liquor,"539 5th Ave., Brooklyn, NY",(718) 768-5402,40.6658827,-73.9888409,Yes
Fresh Direct Wines and Liquors,"620 5th Ave., Brooklyn, NY",(718) 768-1521,40.6634448,-73.991455,Yes
Habit,"137 5th Ave., Brooklyn, NY",,40.678456,-73.9789109,Yes
Min-k Outlet,"145 5th Ave., Brooklyn, NY",,40.6781038,-73.9791457,Yes
Bhoomki,"158 5th Ave., Brooklyn, NY",(718) 857-5345,40.6779901,-73.9795572,Yes
Something Else,"206 5th Ave., Brooklyn, NY",(718) 230-0805,40.6765885,-73.9805222,Yes
Gut NYC,"217 5th Ave., Brooklyn, NY",(347) 916-1076,40.6760121,-73.9805611,Yes
Workshoppe,"665 President St., Brooklyn, NY",,40.6757124,-73.9804584,Yes
St. Hrouda,"227 5th Ave., Brooklyn, NY",,40.6755434,-73.9808644,Yes
Diana Kane,"229b 5th Ave., Brooklyn, NY",(718) 638-6520,40.6754927,-73.9809255,Yes
Lykke,"233 5th Ave., Brooklyn, NY",(646) 820-3197,40.6753608,-73.9810186,Yes
La Rosa Dancewear and Hosiery,"272 5th Ave., Brooklyn, NY",(718) 499-6721,40.6745263,-73.9820446,Yes
Nazarela Bridal Design Studio,"274 5th Ave., Brooklyn, NY",(929) 397-0006,40.6744257,-73.9821329,Yes
Square Stores:  Big Man Headquarters,"426 5th Ave., Brooklyn, NY",(718) 788-5135,40.6697625,-73.986015,Yes
La Belle Boutique on 5th,"473 5th Ave., Brooklyn, NY",(718) 230-0362,40.6680402,-73.9870385,Yes
Zeconette Accessories,"276 12th St., Brooklyn, NY",,40.6674628,-73.988218,Yes
Azena Jewelry,"500 5th Ave., Brooklyn, NY",(718) 788-4900,40.6673323,-73.9880242,Yes
Mandee,"503 5th Ave., Brooklyn, NY",,40.6670097,-73.9878679,Yes
Bobby Sportswear,"508 5th Ave., Brooklyn, NY",(718) 768-9666,40.6671714,-73.98834190836075,Yes
H & A Jewelry,"526 5th Ave., Brooklyn, NY",(718) 768-9666,40.6665033,-73.9887296,Yes
DNA Footwear,"220 5th Ave., Brooklyn, NY",(718) 789-2901,40.6759845,-73.9809368,Yes
5th Avenue Shoe Repair,"231 5th Ave., Brooklyn, NY",(718) 636-6001,40.6754629,-73.9809468,Yes
Premium Goods Sneakers & Sportswear,"347B 5th Ave., Brooklyn, NY",(718) 369-7477,40.671870444444444,-73.98392822222222,Yes
Windsors World of Shoes,"484 Fifth Avenue, Brooklyn, NY",(718) 369-3700,40.6695949,-73.9861675,Yes
Angelo's Shoe Repair,"268 14th St., Brooklyn, NY",(347) 567-6600,40.6659244,-73.9885316,Yes
Foot Locker,"532 5th Ave., Brooklyn, NY",(718) 840-00872,40.666397149999995,-73.98900063558227,Yes
I Fix Screens,"129 5th Ave., Brooklyn, NY",(929) 337-6052,40.6786535,-73.9787767,Yes
Geek Shop,"219 5th Ave., Brooklyn, NY",(347) 725-3519,40.6759753,-73.9805933,Yes
Verizon Wireless,"315 9th St., Brooklyn, NY",(718) 788-6400,40.6691523,-73.9858545,Yes
T-Mobile,"460 5th Ave., Brooklyn, NY",(718) 788-4031,40.668726,-73.986804,Yes
Boost Mobile,"463A 5th Ave., Brooklyn, NY",(347) 223-4042,40.6683259,-73.9868082,Yes
Prospect Wireless,"475 5th Ave., Brooklyn, NY",(718) 788-7802,40.6678979,-73.9869125,Yes
T Mobile,"479 5th Ave., Brooklyn, NY",(718) 404-1908,40.6677652,-73.9872731,Yes
Metro PCS,"481 5th Ave., Brooklyn, NY",(718) 600-0856,40.6676928,-73.9873337,Yes
Mobi Compu Repair,"537 5th Ave., Brooklyn, NY",(631) 933-2472,40.6659517,-73.9887894,Yes
Milan Optique,"83 5th Ave., Brooklyn, NY",(718) 636-4526,40.6800631,-73.9778252,Yes
Park Optics,"337 5th Ave., Brooklyn, NY",(718) 788-8834,40.6722202,-73.9835759,Yes
9th Street Optical,"332 9th St., Brooklyn, NY",(718) 965-2545,40.6687175,-73.9857726,Yes
Park Slope Eye Care,"334 9th St., Brooklyn, NY",,40.6686527,-73.9856327,Yes
Optical Illusion,"490 5th Ave., Brooklyn, NY",(718) 832-1100,40.66776205,-73.9878006362365,Yes
Park Slope Family Eye Care,"519 5th Ave., Brooklyn, NY",(718) 768-1020,40.6664982,-73.9883342,Yes
Park Slope Eye,"682 Union St., Brooklyn, NY",(718) 577-5196,40.6764717,-73.981007,Yes
Hamilton Plaza Vision Center,"637 5th Ave., Brooklyn, NY",(718) 499-4260,40.6630343,-73.9914533,Yes
Galaxy Comics & Collectibles,"429 5th Ave., Brooklyn, NY",(718) 499-3222,40.6694815,-73.9858464,Yes
Game Stop,"533 5th Ave., Brooklyn, NY",,40.6662026,-73.9885839,Yes
Fifth Avenue Records,"439 5th Ave., Brooklyn, NY",(718) 499-8483,40.6692428,-73.9860536,Yes
OM Gift Shop,"152 5th Ave., Brooklyn, NY",(718) 230-2030,40.6781711,-73.9794271,Yes
Pink Olive,"167 5th Ave., Brooklyn, NY",(718) 398-2016,40.6774695,-73.9795851,Yes
Gift Man/Chair Man,"176 5th Ave., Brooklyn, NY",(718) 499-0721,40.6774838,-73.9798954,Yes
Annie’s Blue Ribbon General Store,"232 5th Ave., Brooklyn, NY",(718) 522-9848,40.6756822,-73.9811289,Yes
Fama Party Center,"268 14th St., Brooklyn, NY",(718) 730-2800,40.6659244,-73.9885316,Yes
Brooklyn Superhero Supply Store/826NYC,"372 5th Ave., Brooklyn, NY",(718) 499-9884,40.6713828,-73.9846752,Yes
Not Just Chocolate,"537 5th Ave., Brooklyn, NY",,40.6659517,-73.9887894,Yes
Brooklyn Hardware,"64 5th Ave., Brooklyn, NY",(718) 783-0393,40.6811443,-73.9774146,Yes
R&A Hardware,"109 5th Ave., Brooklyn, NY",(718) 622-0657,40.6792934,-73.9783394,Yes
Leopoldi’s Hardware,"415 5th Ave., Brooklyn, NY",(718) 499-6563,40.66988945,-73.98534515355801,Yes
5th Avenue Key Shop,"295 9th St., Brooklyn, NY",(800) Key-Shop,40.6695893,-73.9867628,Yes
Sherwin Williams Paints,"555 5th Ave., Brooklyn, NY",(718) 369-0819,40.6655948,-73.9890498,Yes
CNS Family  Hardware Inc.,"584 5th Ave., Brooklyn, NY",(718) 499-2323,40.6646002,-73.9903311,Yes
Park Slope Hardware,"593 5th Ave., Brooklyn, NY",(718) 788-6683,40.6644046,-73.9900897,Yes
The Wood Shop,"295 9th St., Brooklyn, NY",,40.6695893,-73.9867628,Yes
J & Y Upholstery Workroom,"552 5th Ave., Brooklyn, NY",(718) 499-8304,40.6655533,-73.9895494,Yes
#1 Brooklyn Furniture and Appliance,"564 5th Ave., Brooklyn, NY",(718) 499-4524,40.665279600000005,-73.98989759099156,Yes
Caesar’s Carpet Center,"587 5th Ave., Brooklyn, NY",(718) 768-6477,40.6645215,-73.9899886,Yes
Juliette's Floral Design,"170 5th Ave., Brooklyn, NY",,40.6775677,-73.97979740000001,Yes
Zuzu’s Petals,"374 5th Ave., Brooklyn, NY",(718) 638-0918,40.6713043,-73.9847365,Yes
Jasmine’s Floral Designs,"543 5th Ave., Brooklyn, NY",(718) 965-0259,40.6658219,-73.9888763,Yes
Brooklyn Frameworks,"142 5th Ave., Brooklyn, NY",(718) 399-6613,40.6785416,-73.9791878,Yes
Stained Glass Store,"300 5th Ave., Brooklyn, NY",(718) 768-7964,40.6736796,-73.9827487,Yes
Prints Charming Inc,"310 4th St., Brooklyn, NY",(718) 230-8118,40.67191786111111,-73.98341713888888,Yes
Jonathan Blum Portraits,"285 5th Ave., Brooklyn, NY",(718) 499-0199,40.6736939,-73.9823351,Yes
Ground Floor Gallery,"343 5th St., Brooklyn, NY",,40.671502,-73.983874,Yes
LuLu’s Cuts & Toys (kids),"48 5th Ave., Brooklyn, NY",(718) 832-3732,40.6816784,-73.9770664,Yes
Lullaby Baby,"488 5th Ave., Brooklyn, NY",(718) 499-2742,40.6677713,-73.9876767,Yes
Save on Fifth,"421 5th Ave., Brooklyn, NY",(718) 965-2040,40.6698196,-73.9855042,Yes
D II,"445 5th Ave., Brooklyn, NY",(718) 788-9200,40.669025,-73.9863,Yes
Amazin Savings 99¢,"465 5th Ave., Brooklyn, NY",718 369-4899,40.6682745,-73.9868544,Yes
Amazing Variety Store,"542 5th Ave., Brooklyn, NY",,40.6659171,-73.9892311,Yes
99¢ Plus & Gifts,"570 5th Ave., Brooklyn, NY",(718) 499-3560,40.6649275,-73.9900421,Yes
Life Boutique Thrift,"66 5th Ave., Brooklyn, NY",(718) 789-5433,40.6811008,-73.9774511,Yes
Slope Vintage,"71 5th Ave., Brooklyn, NY",(718) 622-4723,40.680529,-73.9775039,Yes
Beacon’s Closet,"92 5th Ave., Brooklyn, NY",(718) 230-1630,40.6801739,-73.9780828,Yes
Housing Works,"266 5th Ave., Brooklyn, NY",(718) 636-2271,40.6747569,-73.9818338,Yes
Life Boutique Thrift,"515 5th Ave., Brooklyn, NY",(718) 788-5433,40.6665676,-73.9882633,Yes
Time Galleries,"562 5th Ave., Brooklyn, NY",(718) 788-8300,40.66535655,-73.98985639979448,Yes
Your CBD Store,"195 5th Ave., Brooklyn, NY",(929) 295-0031,40.67669325,-73.98000590688865,Yes
Simply Hemp,"429 5th Ave., Brooklyn, NY",,40.6694815,-73.9858464,Yes
Please New York,"557 5th Ave., Brooklyn, NY",(718) 788-6969,40.6654047,-73.9892489,Yes
Stay Sharp Brooklyn Studio/ Flirt BK,"586 5th Ave., Brooklyn, NY",(929) 367-8248,40.6645563,-73.9903601,Yes
Torres Tattoos,"635 5th Ave., Brooklyn, NY",(718) 369-2421,40.6630772,-73.9914082,Yes
LuLu’s Cuts & Toys (kids),"48 5th Ave., Brooklyn, NY",(718) 832-3732,40.6816784,-73.9770664,Yes
George’s II Professional Barber Shop,"78 5th Ave., Brooklyn, NY",(718) 636-0512,40.6806283,-73.9777735,Yes
Badlands Barber & Salon,"87 5th Ave., Brooklyn, NY",(718) 636-1301,40.6799689,-73.9778945,Yes
Meura Hair Salon,"90 5th Ave., Brooklyn, NY",(718) 623-5300,40.6803553,-73.9779592,Yes
Bennys Barber Shop,"143 5th Ave., Brooklyn, NY",(718) 230-3281,40.6781475,-73.9791164,Yes
Omni Beauty Salon,"152 5th Ave., Brooklyn, NY",(718) 789-8887,40.6781711,-73.9794271,Yes
Rapunzel Rapunzel,"158 5th Ave., Brooklyn, NY",(718) 857-2855,40.6779901,-73.9795572,Yes
Brooklyn Blends Barber Shop & Unisex,"135 5th Ave., Brooklyn, NY",(718) 783-8354,40.67847245,-73.97879887352883,Yes
Imperial Barbershop,"242 5th Ave., Brooklyn, NY",(718) 240-5000,40.6754626,-73.9812765,Yes
LS Barbershop,"264 5th Ave., Brooklyn, NY",(347) 515-8305,40.6748126,-73.9818025,Yes
Lisa Lo Bue Salon,"268 14th St., Brooklyn, NY",(718) 832-1414,40.6659244,-73.9885316,Yes
Wild & Grace Salon,"309 5th Ave., Brooklyn, NY",(347) 689-3827,40.673013,-73.9829038,Yes
Rachel Salon,"313 5th Ave., Brooklyn, NY",,40.6729115,-73.982934,Yes
Elegant Barber Shop,"310 4th St., Brooklyn, NY",(718) 758-6000,40.67191786111111,-73.98341713888888,Yes
Blue Butterfly Salon,"318 11th St., Brooklyn, NY",(347) 683-7615,40.6680569,-73.9877329,Yes
Mon Plaisir Hair Studio,"322 5th Ave., Brooklyn, NY",,40.6730255,-73.9832891,Yes
Medusa Hair Salon,"322 5th Ave., Brooklyn, NY",,40.6730255,-73.9832891,Yes
Fez Salon,"355 5th Ave., Brooklyn, NY",(718) 965-1714,40.6716935,-73.9840041,Yes
Eve’s Unisex,"371 5th Ave., Brooklyn, NY",(718) 788-1795,40.6711253,-73.9844791,Yes
Cowlick,"348 6th St., Brooklyn, NY",(917) 909-0402,40.6707438,-73.9845131,Yes
Glamour Salon by Lana,"383 5th Ave., Brooklyn, NY",(347) 294-0694,40.6708061,-73.9847592,Yes
Brooklyn Master Barber Shop,"393 5th Ave., Brooklyn, NY",(718) 840-2616,40.6705864,-73.9849209,Yes
Creative Hair Spa,"326 9th St., Brooklyn, NY",(718) 788-8796,40.6688037,-73.9859753,Yes
George’s Barber Shop,"475 5th Ave., Brooklyn, NY",(718) 499-2021,40.6678979,-73.9869125,Yes
Judy Unisex,"521 5th Ave., Brooklyn, NY",(718) 832-0639,40.666457,-73.9883682,Yes
Sunshine Chinese Bodywork,"4 Park Place., Brooklyn, NY",(718) 499-0326,40.6794598,-73.977972,Yes
Element Beauty Lounge,"73 5th Ave., Brooklyn, NY",(718) 398-2969,40.6804748,-73.9775405,Yes
Q-Spa Nail Salon,"91 5th Ave., Brooklyn, NY",(718) 398-3088,40.6798809,-73.9779492,Yes
Mom’s Beauty Nails,"113 5th Ave., Brooklyn, NY",(718) 398-8440,40.6791867,-73.9784094,Yes
Polish Nail Spa,"117 5th Ave., Brooklyn, NY",(718) 399-0313,40.6790968,-73.9784701,Yes
Renew and Relax Spa,"142 5th Ave., Brooklyn, NY",,40.6785416,-73.9791878,Yes
D’mai Urban Spa,"157 5th Ave., Brooklyn, NY",(718) 398-2100,40.677841,-73.9793219,Yes
K Skincare,"169 5th Ave., Brooklyn, NY",(718) 622-0635,40.6773894,-73.9796398,Yes
Blitz Facial Bar,"184 5th Ave., Brooklyn, NY",(718) 623-2000,40.6773091,-73.9800186,Yes
One of Kind,"219 5th Ave., Brooklyn, NY",(718) 668-5295,40.6759753,-73.9805933,Yes
Aesop Park Slope,"225 5th Ave., Brooklyn, NY",(203) 742-9156,40.6756466,-73.9808239,Yes
Ocean Spa,"234B 5th Ave., Brooklyn, NY",(929) 337-8528,40.6756343,-73.9811611,Yes
Shang Hai Spa,"241 5th Ave., Brooklyn, NY",(718) 788-8387,40.6749978,-73.98126,Yes
Reedchy Nail & Spa,"274 5th Ave., Brooklyn, NY",(718) 877-9009,40.6744257,-73.9821329,Yes
CiCi Nail Inc.,"285 9th St., Brooklyn, NY",(917) 907-0205,40.6697283,-73.986928,Yes
H & C Chinese Bodywork,"286 9th St., Brooklyn, NY",(718) 499-0326,40.669670137931035,-73.98753596551724,Yes
Pink Nail Spa,"313 5th Ave., Brooklyn, NY",,40.6729115,-73.982934,Yes
Body Work Foot Reflexology,"325 7th St., Brooklyn, NY",(718) 788 2898,40.67063925,-73.98555410141509,Yes
5th and 5th Wellness,"339 5th St., Brooklyn, NY",(917) 379-3377,40.6715172,-73.9839065,Yes
Il Giglio Nails and Spa,"351 5th Ave., Brooklyn, NY",(718) 708-3088,40.6717189,-73.9839829,Yes
Red Moon Wellness,"405 5th Ave. #2, Brooklyn, NY",(347) 699-8751,40.6701542,-73.9852967,Yes
Bloomie Nail Salon,"435 5th Ave., Brooklyn, NY",(718) 788-2378,40.6693767,-73.9859427,Yes
Nail on 5th,"436 5th Ave., Brooklyn, NY",(929) 295-0143,40.6695448,-73.9862638,Yes
Blossom Brows,"319 9th St., Brooklyn, NY",(718)499-1122,40.6691024,-73.9857243,Yes
Blossom Brows,"467 5th Ave., Brooklyn, NY",(718) 499-2233,40.6682284,-73.9868848,Yes
Five Color Nail,"485 5th Ave., Brooklyn, NY",(718) 369-6922,40.66765188888889,-73.98744266666667,Yes
Park Slope Laser Aesthetic Center,"480 5th Ave., Brooklyn, NY",(646) 868-3634,40.6679519,-73.9875165,Yes
Vivi Nail Salon 2,"463 5th Ave., Brooklyn, NY",(718) 832-2885,40.6683736,-73.9867689,Yes
Vivi Nail Salon,"487 5th Ave., Brooklyn, NY",(718) 832-2886,40.6675921,-73.9874179,Yes
Shirly Nails,"512 5th Ave., Brooklyn, NY",(718) 965-3063,40.667005,-73.9883158,Yes
AAR Beauty & Health Center,"514 5th Ave., Brooklyn, NY",(718) 788-8866,40.6669695,-73.9883503,Yes
Nice Nails Salon,"537 5th Ave., Brooklyn, NY",,40.6659517,-73.9887894,Yes
Rawaj Eyebrow Threading,"559 5th Ave, Brooklyn, NY",(347) 599-1266,40.6653722,-73.9892814,Yes
Fifth Ave Fitness,"42 5th Ave., Brooklyn, NY",(718) 789-8901,40.6818269,-73.9769569,Yes
Area Sweat & Planted Park Slope,"45 5th Ave., Brooklyn, NY",(718) 230-7495,40.6815381,-73.976834,Yes
Body Tonic Pilates Gymnasium,"150 5th Ave., Brooklyn, NY",(718) 622-2755,40.6782252,-73.9793972,Yes
Pure Barre,"178 5th Ave., Brooklyn, NY",(718) 623-3600,40.67750325,-73.98010514697253,Yes
Harbor Health & Fitness,"191 15th St., Brooklyn, NY",(718) 965-6200,40.66601,-73.9899634,Yes
Way of Action Tae Kwon Do,"316 7th Ave. #2, Brooklyn, NY",(718) 788-1968,40.6674245,-73.9813373,Yes
Capoeira Brooklyn,"316 7th St. #2, Brooklyn, NY",(646) 492-4221,40.670402,-73.9856676,Yes
NY Sports Club,"324 9th St., Brooklyn, NY",(718) 768-0880,40.6688355,-73.9860402,Yes
Prospect Park YMCA,"357 9th St., Brooklyn, NY",(718) 768-7100,40.66866075,-73.98446914891225,Yes
JukeBox NYC,"491 5th Ave., Brooklyn, NY",(718) 768-8755,40.6674908,-73.9875027,Yes
Row House,"499 5th Ave., Brooklyn, NY",,40.667095950000004,-73.98767876729588,Yes
United Tae Kwon Do,"502 5th Ave., Brooklyn, NY",(718) 788-5700,40.6672546,-73.9881054,Yes
Park Slope Academy of Brazilian Jiu-Jitsu,"518 5th Ave., Brooklyn, NY",(718) 788-6990,40.6667427,-73.9885342,Yes
Ameri-kick Karate Studio,"529 5th Ave., Brooklyn, NY",(718) 768-8200,40.66631711111111,-73.98855888888889,Yes
Crunch,"555 5th Ave. #2, Brooklyn, NY",(718) 707-9400,40.6655948,-73.9890498,Yes
Japan Karate Association of Brooklyn,"565 5th Ave., Brooklyn, NY",(718) 768-9345,40.6652212,-73.989328,Yes
Align Brooklyn,"579 5th Ave., Brooklyn, NY",(347) 875-0714,40.6647385,-73.9898041,Yes
Prominis Medical Office,"37 5th Ave., Brooklyn, NY",(718) 802-1110,40.68175405,-73.976584,Yes
Bee Healthy,"94 5th Ave., Brooklyn, NY",(718) 399-9600,40.680142149999995,-73.97823021796408,Yes
Gentle Dental Associates,"217 5th Ave., Brooklyn, NY",(718) 789-2400,40.6760121,-73.9805611,Yes
Nurses in the Park Inc.,"667 President St, Brooklyn, NY",(718) 832-0443,40.67572876923077,-73.98052407692307,Yes
Park Slope Family Dentistry,"245 5th Ave., Brooklyn, NY",(718) 789-5700,40.6749068,-73.9813332,Yes
Stand Up MRI,"308 5th Ave., Brooklyn, NY",(718) 768-7700,40.6733325,-73.9830281,Yes
Nova Parkslope Medspa,"326 7th St, Brooklyn, NY",(718) 965-6594,40.6702376,-73.9852255,Yes
Park Slope Physician Associates,"326 7th St, Brooklyn, NY",(718) 965-1234,40.6702376,-73.9852255,Yes
Premier Dentistry,"328 9th St., Brooklyn, NY",(347) 889-6040,40.6687579,-73.9858755,Yes
Full-Spectrum Touch Massage & Body Therapy,"343 5th Ave, Brooklyn, NY",(718) 789-2315,40.671883699999995,-73.983756419,Yes
Bitesize Pediatric Dentistry,"377 5th Ave., Brooklyn, NY",(917) 397-1341,40.671088399999995,-73.9845792,Yes
NY Interventional Spine & Pain Medicine,"405 5th Ave., Brooklyn, NY",(718) 965-1234,40.6701542,-73.9852967,Yes
CityMd,"418-420 5th Ave., Brooklyn, NY",(718) 965-2273,40.670062333333334,-73.98569066666667,Yes
Dental 365,"422 5th Ave., Brooklyn, NY",(718) 832-1900,40.670009,-73.9858071,Yes
Tribeca Pediatrics,"425 5th Ave., Brooklyn, NY",(718) 568-9220,40.6695797,-73.9857745,Yes
Dental Center of Park Slope,"328 9th St., Brooklyn, NY",(718) 788-3168,40.6687579,-73.9858755,Yes
New York Hand Surgery,"330 9th St., Brooklyn, NY",(718) 369-4263,40.6687387,-73.9858282,Yes
A-Z Dental,"332 9th Street, Brooklyn, NY",(718) 832-1222,40.6687175,-73.9857726,Yes
Medical Foot Surgical Care,"338 9th St, Brooklyn, NY",(718) 788-2290,40.66855215,-73.98550909587352,Yes
Noble Dental Care PC,"340a 9th St., Brooklyn, NY",(718) 965-1144,40.6685197,-73.9853757,Yes
Dental Spa of New York,"398 5th Ave., Brooklyn, NY",(718) 717-1163,40.6706595,-73.9852767,Yes
Lab Corp,"456 5th Ave., Brooklyn, NY",(718) 369-4507,40.6689106,-73.9868585,Yes
South Slope Pediatrics,"501 5th Ave., Brooklyn, NY",(718) 576-2450,40.6670437,-73.9877435515289,Yes
Rehab One Physical Therapy,"503 5th Ave., Brooklyn, NY",(718) 254-0101,40.6670097,-73.9878679,Yes
Diamond Braces,"530 5th Ave., Brooklyn, NY",,40.66645635,-73.98895055,Yes
The Back Whisperer,"579 5th Ave., Brooklyn, NY",(718) 788-3940,40.6647385,-73.9898041,Yes
Brook Medical & Dentist,"580 5th Ave., Brooklyn, NY",(718) 768-8400,40.6647038,-73.9902386,Yes
Aqua Physical Therapy,"581 5th Ave, Brooklyn, NY",(718) 965-0555,40.6646802,-73.989857,Yes
