Store,Address,Phone,lat,lon
PIZZA SECRET,"72 5TH AVE., BROOKLYN, NY",(929) 337-6245,40.6807977,-73.9776583
L'ARTE DELLA PIZZA,"172 5TH AVE., BROOKLYN, NY",(718) 622-7200,40.6775265,-73.9798682
V & M PIZZATOWN,"85 5TH AVE., BROOKLYN, NY",(718) 789-4040,40.680012,-73.97786
AL DI LA TRATTORIA,"248 5TH AVE., BROOKLYN, NY",(718) 783-4565,40.6752897,-73.9813928
LA VILLA PIZZERIA & RESTAURANT,"261 5TH AVE., BROOKLYN, NY",(718) 499-9888,40.6743832,-73.9817699
TUTT APPOST,"289 5TH AVE., BROOKLYN, NY",,40.67356805,-73.98232555
TWO BOOTS BROOKLYN,"304 2ND ST., BROOKLYN, NY",(718) 499 3253,40.67378193975904,-73.98378050602409
TERRE BK,"341 5TH AVE., BROOKLYN, NY",(718) 788-2288,40.6719617,-73.9837809
JOE’S PIZZA,"349 5TH AVE., BROOKLYN, NY",(347) 725-4595,40.6718133,-73.9839044
PEPPINOS,"469 5TH AVE., BROOKLYN, NY",(718) 768-7244,40.6681833,-73.9869266
JOE’S PIZZA,"483 5TH AVE., BROOKLYN, NY",(718) 369-2634,40.6676601,-73.9873611
PRINCESS PIZZA,"535 5TH AVE., BROOKLYN, NY",(718) 788-9111,40.6659936,-73.9887315
DOMINO’S,"554 5TH AVE., BROOKLYN, NY",(718) 972-3733,40.6654963,-73.989591
LENNY’S PIZZA,"594 5TH AVE., BROOKLYN, NY",(718) 788-8928,40.6643749,-73.9905189
EL VIEJO YAYO RESTAURANT,"36 5TH AVE., BROOKLYN, NY",(718) 622-8922,40.6819614,-73.9768803
BK9,"62 5TH AVE., BROOKLYN, NY",(718) 789-2176,40.6811967,-73.9773859
BOGOTA LATIN BISTRO,"141 5TH AVE., BROOKLYN, NY",(718) 230-3806,40.6781856,-73.9790909
NEGRIL BK,"256 5TH AVE., BROOKLYN, NY",(347) 721-3801,40.67505345,-73.98173819603758
EL VIEJO YAYO II RESTAURANT,"317 9TH ST., BROOKLYN, NY",(718) 965-7299,40.669129,-73.9857877
COLOMBIA IN PARK SLOPE,"376 5TH AVE., BROOKLYN, NY",(718) 369-2020,40.6712721,-73.9847619
STELLA'S CARRIBEAN,"559 5TH AVE., BROOKLYN, NY",,40.6653722,-73.9892814
EMPANADA LOCA,"606 5TH AVE., BROOKLYN, NY",(718) 369 2118,40.6639276,-73.9909626
PALO SANTO,"652 UNION STREET, BROOKLYN, NY",(718) 636-6311,40.6768229,-73.9819324
MIRIAM RESTAURANT & WINE BAR,"79 5TH AVE., BROOKLYN, NY",(718) 622-2250,40.6801677,-73.9777459
TAVA TURKISH GRILL,"318 5TH AVE., BROOKLYN, NY",(718) 499 5600,40.673112,-73.9832132
MASHAWI GRILL NY,"450 5TH AVE., BROOKLYN, NY",,40.6690603,-73.98670428308823
BESITO RESTAURANT & BAR,"50 5TH AVE., BROOKLYN, NY",(718) 230-1703,40.681618,-73.9770909
NACHO MACHO,"82 5TH AVE., BROOKLYN, NY",(718) 622-8282,40.680539,-73.9778343
MITI MITI MODERN MEXICAN,"138 5TH AVE., BROOKLYN, NY",(718) 230-3805,40.6786532,-73.979114
MAYA TAQUERIA,"168 5TH AVE., BROOKLYN, NY",(718) 398-6292,40.6776386,-73.9798024
TAQUERIA EL PATRON MEXICAN GRILL,"191 5TH AVE., BROOKLYN, NY",,40.6767912,-73.9800357
MEZCAL’S,"223 5TH AVE., BROOKLYN, NY",(718) 783-3276,40.6758313,-73.9807001
CALEXICO,"280 5TH AVE., BROOKLYN, NY",(347) 254-7644,40.67425455,-73.98238456614482
CHELA MODERN MEXICAN,"408 5TH AVE., BROOKLYN, NY",(718) 788-1137,40.6702776,-73.9855774
FATTY DADDY TACO,"310 9TH ST., BROOKLYN, NY",(718) 499-8226,40.6691449,-73.9866074
NUEVO MEXICO,"489 5TH AVE., BROOKLYN, NY",(718) 832-0050,40.66749275,-73.98740022879696
LA FONDITA,"557 5TH AVE., BROOKLYN, NY",,40.6654047,-73.9892489
EL NOPAL RESTAURANT & JUICE BAR,"631 5TH AVE., BROOKLYN, NY",(718) 541-2732,40.6631577,-73.9913238
SHAKING CRAB,"230 5TH AVE., BROOKLYN, NY",(929) 337-6140,40.6757312,-73.9810959
FJORD FISH MARKET,"249 5TH AVE., BROOKLYN, NY",,40.6748,-73.9814174
BAR CRUDO OYSTER BAR,"412 5TH AVE., BROOKLYN, NY",(718) 701-1894,40.6701734,-73.9856613
OCEAN FISH MARKET,"413 5TH AVE., BROOKLYN, NY",(718) 499-1454,40.6699931,-73.9854265
THE V SPOT,"156 5TH AVE., BROOKLYN, NY",(718) 622-2275,40.6780704,-73.9795019
KEY FOOD,"120 5TH AVE., BROOKLYN, NY",(718) 783-9053,40.67947075,-73.97892358578926
O LIVE BROOKLYN,"140 5TH AVE., BROOKLYN, NY",(718) 783-1680,40.6785782,-73.9791653
FLEISHER’S GRASS-FED & ORGANIC MEATS,"192 5TH AVE., BROOKLYN, NY",(718) 298-MOOO,40.6769569,-73.9802604
ASSOCIATED SUPERMARKET,"216 5TH AVE., BROOKLYN, NY",(718) 789-4499,40.6761424,-73.98096198922048
RUSSO’S MOZZARELLA & PASTA CORP.,"312 5TH AVE., BROOKLYN, NY",(718) 369-2874,40.6732205,-73.9831189
DOWN TO EARTH FARMER'S MARKET PARK SLOPE,"326-344 5TH AVE., BROOKLYN, NY",,40.67249477777778,-73.98340633333333
EMPORIUM FRESH MARKET,"409 5TH AVE., BROOKLYN, NY",,40.6700005,-73.98523916070195
FOOD TOWN,"409 5TH AVE, BROOKLYN, NY",,40.6700005,-73.98523916070195
PARK BEER STORE,"302 9TH ST., BROOKLYN, NY",(718) 369-1115,40.6691099,-73.9865411
STEVE’S C TOWN 9TH STREET MARKET,"327 9TH ST., BROOKLYN, NY",(718) 965-9765,40.66882113513513,-73.98537572972972
AWESOME ORGANIC MARKET,"493 5TH AVE., BROOKLYN, NY",(718) 788-3663,40.6673954,-73.9875825
PROSPECT MARKET,"595 5TH AVE., BROOKLYN, NY",(718) 788-9100,40.6642798,-73.99000939037623
JUBILAT PROVISIONS,"608 5TH AVE., BROOKLYN, NY",(718) 768-9676,40.6638429,-73.9910411
MARKETPLACE BY KEYFOODS,"617 5TH AVE., BROOKLYN, NY",(718) 499-7523,40.6636424,-73.9908202
SIP FINE WINE,"67 5TH AVE., BROOKLYN, NY",(718) 638-6105,40.6806102,-73.977449
STERLING GRAPES AND GRAINS,"115 5TH AVE., BROOKLYN, NY",(718) 789-9521,40.6791408,-73.9784399
BROOKLYN WINE CO.,"205 5TH AVE., BROOKLYN, NY",(718) 636-9463,40.6764818,-73.9802441
GOOD WINE,"327 5TH AVE., BROOKLYN, NY",(718) 499-2392,40.6724383,-73.9833924
PRIMETIME WINES & LIQUORS,"427 5TH AVE., BROOKLYN, NY",(718) 788-8181,40.6695327,-73.9858135
ZULA WINES & SPIRITS,"487 5TH AVE, BROOKLYN, NY",(718) 832-5101,40.6675921,-73.9874179
PARK SLOPE WINE & LIQUOR,"539 5TH AVE., BROOKLYN, NY",(718) 768-5402,40.6658827,-73.9888409
FRESH DIRECT WINES AND LIQUORS,"620 5TH AVE., BROOKLYN, NY",(718) 768-1521,40.6634448,-73.991455
HABIT,"137 5TH AVE., BROOKLYN, NY",,40.678456,-73.9789109
MIN-K OUTLET,"145 5TH AVE., BROOKLYN, NY",,40.6781038,-73.9791457
BHOOMKI,"158 5TH AVE., BROOKLYN, NY",(718) 857-5345,40.6779901,-73.9795572
SOMETHING ELSE,"206 5TH AVE., BROOKLYN, NY",(718) 230-0805,40.6765885,-73.9805222
GUT NYC,"217 5TH AVE., BROOKLYN, NY",(347) 916-1076,40.6760121,-73.9805611
WORKSHOPPE,"665 PRESIDENT ST., BROOKLYN, NY",,40.6757124,-73.9804584
ST. HROUDA,"227 5TH AVE., BROOKLYN, NY",,40.6755434,-73.9808644
DIANA KANE,"229B 5TH AVE., BROOKLYN, NY",(718) 638-6520,40.6754927,-73.9809255
LYKKE,"233 5TH AVE., BROOKLYN, NY",(646) 820-3197,40.6753608,-73.9810186
LA ROSA DANCEWEAR AND HOSIERY,"272 5TH AVE., BROOKLYN, NY",(718) 499-6721,40.6745263,-73.9820446
NAZARELA BRIDAL DESIGN STUDIO,"274 5TH AVE., BROOKLYN, NY",(929) 397-0006,40.6744257,-73.9821329
SQUARE STORES:  BIG MAN HEADQUARTERS,"426 5TH AVE., BROOKLYN, NY",(718) 788-5135,40.6697625,-73.986015
LA BELLE BOUTIQUE ON 5TH,"473 5TH AVE., BROOKLYN, NY",(718) 230-0362,40.6680402,-73.9870385
ZECONETTE ACCESSORIES,"276 12TH ST., BROOKLYN, NY",,40.6674628,-73.988218
AZENA JEWELRY,"500 5TH AVE., BROOKLYN, NY",(718) 788-4900,40.6673323,-73.9880242
MANDEE,"503 5TH AVE., BROOKLYN, NY",,40.6670097,-73.9878679
BOBBY SPORTSWEAR,"508 5TH AVE., BROOKLYN, NY",(718) 768-9666,40.6671714,-73.98834190836075
H & A JEWELRY,"526 5TH AVE., BROOKLYN, NY",(718) 768-9666,40.6665033,-73.9887296
DNA FOOTWEAR,"220 5TH AVE., BROOKLYN, NY",(718) 789-2901,40.6759845,-73.9809368
5TH AVENUE SHOE REPAIR,"231 5TH AVE., BROOKLYN, NY",(718) 636-6001,40.6754629,-73.9809468
PREMIUM GOODS SNEAKERS & SPORTSWEAR,"347B 5TH AVE., BROOKLYN, NY",(718) 369-7477,40.671870444444444,-73.98392822222222
WINDSORS WORLD OF SHOES,"484 FIFTH AVENUE, BROOKLYN, NY",(718) 369-3700,40.6695949,-73.9861675
ANGELO'S SHOE REPAIR,"268 14TH ST., BROOKLYN, NY",(347) 567-6600,40.6659244,-73.9885316
FOOT LOCKER,"532 5TH AVE., BROOKLYN, NY",(718) 840-00872,40.666397149999995,-73.98900063558227
I FIX SCREENS,"129 5TH AVE., BROOKLYN, NY",(929) 337-6052,40.6786535,-73.9787767
GEEK SHOP,"219 5TH AVE., BROOKLYN, NY",(347) 725-3519,40.6759753,-73.9805933
VERIZON WIRELESS,"315 9TH ST., BROOKLYN, NY",(718) 788-6400,40.6691523,-73.9858545
PROSPECT WIRELESS,"475 5TH AVE., BROOKLYN, NY",(718) 788-7802,40.6678979,-73.9869125
METRO PCS,"481 5TH AVE., BROOKLYN, NY",(718) 600-0856,40.6676928,-73.9873337
MOBI COMPU REPAIR,"537 5TH AVE., BROOKLYN, NY",(631) 933-2472,40.6659517,-73.9887894
MILAN OPTIQUE,"83 5TH AVE., BROOKLYN, NY",(718) 636-4526,40.6800631,-73.9778252
PARK OPTICS,"337 5TH AVE., BROOKLYN, NY",(718) 788-8834,40.6722202,-73.9835759
9TH STREET OPTICAL,"332 9TH ST., BROOKLYN, NY",(718) 965-2545,40.6687175,-73.9857726
PARK SLOPE EYE CARE,"334 9TH ST., BROOKLYN, NY",,40.6686527,-73.9856327
OPTICAL ILLUSION,"490 5TH AVE., BROOKLYN, NY",(718) 832-1100,40.66776205,-73.9878006362365
PARK SLOPE FAMILY EYE CARE,"519 5TH AVE., BROOKLYN, NY",(718) 768-1020,40.6664982,-73.9883342
PARK SLOPE EYE,"682 UNION ST., BROOKLYN, NY",(718) 577-5196,40.6764717,-73.981007
HAMILTON PLAZA VISION CENTER,"637 5TH AVE., BROOKLYN, NY",(718) 499-4260,40.6630343,-73.9914533
GALAXY COMICS & COLLECTIBLES,"429 5TH AVE., BROOKLYN, NY",(718) 499-3222,40.6694815,-73.9858464
GAME STOP,"533 5TH AVE., BROOKLYN, NY",,40.6662026,-73.9885839
FIFTH AVENUE RECORDS,"439 5TH AVE., BROOKLYN, NY",(718) 499-8483,40.6692428,-73.9860536
OM GIFT SHOP,"152 5TH AVE., BROOKLYN, NY",(718) 230-2030,40.6781711,-73.9794271
PINK OLIVE,"167 5TH AVE., BROOKLYN, NY",(718) 398-2016,40.6774695,-73.9795851
GIFT MAN/CHAIR MAN,"176 5TH AVE., BROOKLYN, NY",(718) 499-0721,40.6774838,-73.9798954
ANNIE’S BLUE RIBBON GENERAL STORE,"232 5TH AVE., BROOKLYN, NY",(718) 522-9848,40.6756822,-73.9811289
FAMA PARTY CENTER,"268 14TH ST., BROOKLYN, NY",(718) 730-2800,40.6659244,-73.9885316
BROOKLYN SUPERHERO SUPPLY STORE/826NYC,"372 5TH AVE., BROOKLYN, NY",(718) 499-9884,40.6713828,-73.9846752
NOT JUST CHOCOLATE,"537 5TH AVE., BROOKLYN, NY",,40.6659517,-73.9887894
BROOKLYN HARDWARE,"64 5TH AVE., BROOKLYN, NY",(718) 783-0393,40.6811443,-73.9774146
R&A HARDWARE,"109 5TH AVE., BROOKLYN, NY",(718) 622-0657,40.6792934,-73.9783394
LEOPOLDI’S HARDWARE,"415 5TH AVE., BROOKLYN, NY",(718) 499-6563,40.66988945,-73.98534515355801
5TH AVENUE KEY SHOP,"295 9TH ST., BROOKLYN, NY",(800) Key-Shop,40.6695893,-73.9867628
SHERWIN WILLIAMS PAINTS,"555 5TH AVE., BROOKLYN, NY",(718) 369-0819,40.6655948,-73.9890498
CNS FAMILY  HARDWARE INC.,"584 5TH AVE., BROOKLYN, NY",(718) 499-2323,40.6646002,-73.9903311
PARK SLOPE HARDWARE,"593 5TH AVE., BROOKLYN, NY",(718) 788-6683,40.6644046,-73.9900897
THE WOOD SHOP,"295 9TH ST., BROOKLYN, NY",,40.6695893,-73.9867628
J & Y UPHOLSTERY WORKROOM,"552 5TH AVE., BROOKLYN, NY",(718) 499-8304,40.6655533,-73.9895494
#1 BROOKLYN FURNITURE AND APPLIANCE,"564 5TH AVE., BROOKLYN, NY",(718) 499-4524,40.665279600000005,-73.98989759099156
CAESAR’S CARPET CENTER,"587 5TH AVE., BROOKLYN, NY",(718) 768-6477,40.6645215,-73.9899886
JULIETTE'S FLORAL DESIGN,"170 5TH AVE., BROOKLYN, NY",,40.6775677,-73.97979740000001
ZUZU’S PETALS,"374 5TH AVE., BROOKLYN, NY",(718) 638-0918,40.6713043,-73.9847365
JASMINE’S FLORAL DESIGNS,"543 5TH AVE., BROOKLYN, NY",(718) 965-0259,40.6658219,-73.9888763
BROOKLYN FRAMEWORKS,"142 5TH AVE., BROOKLYN, NY",(718) 399-6613,40.6785416,-73.9791878
STAINED GLASS STORE,"300 5TH AVE., BROOKLYN, NY",(718) 768-7964,40.6736796,-73.9827487
PRINTS CHARMING INC,"310 4TH ST., BROOKLYN, NY",(718) 230-8118,40.67191786111111,-73.98341713888888
JONATHAN BLUM PORTRAITS,"285 5TH AVE., BROOKLYN, NY",(718) 499-0199,40.6736939,-73.9823351
GROUND FLOOR GALLERY,"343 5TH ST., BROOKLYN, NY",,40.671502,-73.983874
LULU’S CUTS & TOYS (KIDS),"48 5TH AVE., BROOKLYN, NY",(718) 832-3732,40.6816784,-73.9770664
LULLABY BABY,"488 5TH AVE., BROOKLYN, NY",(718) 499-2742,40.6677713,-73.9876767
SAVE ON FIFTH,"421 5TH AVE., BROOKLYN, NY",(718) 965-2040,40.6698196,-73.9855042
D II,"445 5TH AVE., BROOKLYN, NY",(718) 788-9200,40.669025,-73.9863
AMAZIN SAVINGS 99¢,"465 5TH AVE., BROOKLYN, NY",718 369-4899,40.6682745,-73.9868544
AMAZING VARIETY STORE,"542 5TH AVE., BROOKLYN, NY",,40.6659171,-73.9892311
99¢ PLUS & GIFTS,"570 5TH AVE., BROOKLYN, NY",(718) 499-3560,40.6649275,-73.9900421
LIFE BOUTIQUE THRIFT,"66 5TH AVE., BROOKLYN, NY",(718) 789-5433,40.6811008,-73.9774511
SLOPE VINTAGE,"71 5TH AVE., BROOKLYN, NY",(718) 622-4723,40.680529,-73.9775039
BEACON’S CLOSET,"92 5TH AVE., BROOKLYN, NY",(718) 230-1630,40.6801739,-73.9780828
HOUSING WORKS,"266 5TH AVE., BROOKLYN, NY",(718) 636-2271,40.6747569,-73.9818338
LIFE BOUTIQUE THRIFT,"515 5TH AVE., BROOKLYN, NY",(718) 788-5433,40.6665676,-73.9882633
TIME GALLERIES,"562 5TH AVE., BROOKLYN, NY",(718) 788-8300,40.66535655,-73.98985639979448
YOUR CBD STORE,"195 5TH AVE., BROOKLYN, NY",(929) 295-0031,40.67669325,-73.98000590688865
SIMPLY HEMP,"429 5TH AVE., BROOKLYN, NY",,40.6694815,-73.9858464
PLEASE NEW YORK,"557 5TH AVE., BROOKLYN, NY",(718) 788-6969,40.6654047,-73.9892489
STAY SHARP BROOKLYN STUDIO/ FLIRT BK,"586 5TH AVE., BROOKLYN, NY",(929) 367-8248,40.6645563,-73.9903601
TORRES TATTOOS,"635 5TH AVE., BROOKLYN, NY",(718) 369-2421,40.6630772,-73.9914082
LULU’S CUTS & TOYS (KIDS),"48 5TH AVE., BROOKLYN, NY",(718) 832-3732,40.6816784,-73.9770664
GEORGE’S II PROFESSIONAL BARBER SHOP,"78 5TH AVE., BROOKLYN, NY",(718) 636-0512,40.6806283,-73.9777735
BADLANDS BARBER & SALON,"87 5TH AVE., BROOKLYN, NY",(718) 636-1301,40.6799689,-73.9778945
MEURA HAIR SALON,"90 5TH AVE., BROOKLYN, NY",(718) 623-5300,40.6803553,-73.9779592
BENNYS BARBER SHOP,"143 5TH AVE., BROOKLYN, NY",(718) 230-3281,40.6781475,-73.9791164
OMNI BEAUTY SALON,"152 5TH AVE., BROOKLYN, NY",(718) 789-8887,40.6781711,-73.9794271
RAPUNZEL RAPUNZEL,"158 5TH AVE., BROOKLYN, NY",(718) 857-2855,40.6779901,-73.9795572
BROOKLYN BLENDS BARBER SHOP & UNISEX,"135 5TH AVE., BROOKLYN, NY",(718) 783-8354,40.67847245,-73.97879887352883
IMPERIAL BARBERSHOP,"242 5TH AVE., BROOKLYN, NY",(718) 240-5000,40.6754626,-73.9812765
LS BARBERSHOP,"264 5TH AVE., BROOKLYN, NY",(347) 515-8305,40.6748126,-73.9818025
LISA LO BUE SALON,"268 14TH ST., BROOKLYN, NY",(718) 832-1414,40.6659244,-73.9885316
WILD & GRACE SALON,"309 5TH AVE., BROOKLYN, NY",(347) 689-3827,40.673013,-73.9829038
RACHEL SALON,"313 5TH AVE., BROOKLYN, NY",,40.6729115,-73.982934
ELEGANT BARBER SHOP,"310 4TH ST., BROOKLYN, NY",(718) 758-6000,40.67191786111111,-73.98341713888888
BLUE BUTTERFLY SALON,"318 11TH ST., BROOKLYN, NY",(347) 683-7615,40.6680569,-73.9877329
MON PLAISIR HAIR STUDIO,"322 5TH AVE., BROOKLYN, NY",,40.6730255,-73.9832891
MEDUSA HAIR SALON,"322 5TH AVE., BROOKLYN, NY",,40.6730255,-73.9832891
FEZ SALON,"355 5TH AVE., BROOKLYN, NY",(718) 965-1714,40.6716935,-73.9840041
EVE’S UNISEX,"371 5TH AVE., BROOKLYN, NY",(718) 788-1795,40.6711253,-73.9844791
COWLICK,"348 6TH ST., BROOKLYN, NY",(917) 909-0402,40.6707438,-73.9845131
GLAMOUR SALON BY LANA,"383 5TH AVE., BROOKLYN, NY",(347) 294-0694,40.6708061,-73.9847592
BROOKLYN MASTER BARBER SHOP,"393 5TH AVE., BROOKLYN, NY",(718) 840-2616,40.6705864,-73.9849209
CREATIVE HAIR SPA,"326 9TH ST., BROOKLYN, NY",(718) 788-8796,40.6688037,-73.9859753
GEORGE’S BARBER SHOP,"475 5TH AVE., BROOKLYN, NY",(718) 499-2021,40.6678979,-73.9869125
JUDY UNISEX,"521 5TH AVE., BROOKLYN, NY",(718) 832-0639,40.666457,-73.9883682
SUNSHINE CHINESE BODYWORK,"4 PARK PLACE., BROOKLYN, NY",(718) 499-0326,40.6794598,-73.977972
ELEMENT BEAUTY LOUNGE,"73 5TH AVE., BROOKLYN, NY",(718) 398-2969,40.6804748,-73.9775405
Q-SPA NAIL SALON,"91 5TH AVE., BROOKLYN, NY",(718) 398-3088,40.6798809,-73.9779492
MOM’S BEAUTY NAILS,"113 5TH AVE., BROOKLYN, NY",(718) 398-8440,40.6791867,-73.9784094
POLISH NAIL SPA,"117 5TH AVE., BROOKLYN, NY",(718) 399-0313,40.6790968,-73.9784701
RENEW AND RELAX SPA,"142 5TH AVE., BROOKLYN, NY",,40.6785416,-73.9791878
D’MAI URBAN SPA,"157 5TH AVE., BROOKLYN, NY",(718) 398-2100,40.677841,-73.9793219
K SKINCARE,"169 5TH AVE., BROOKLYN, NY",(718) 622-0635,40.6773894,-73.9796398
BLITZ FACIAL BAR,"184 5TH AVE., BROOKLYN, NY",(718) 623-2000,40.6773091,-73.9800186
ONE OF KIND,"219 5TH AVE., BROOKLYN, NY",(718) 668-5295,40.6759753,-73.9805933
AESOP PARK SLOPE,"225 5TH AVE., BROOKLYN, NY",(203) 742-9156,40.6756466,-73.9808239
OCEAN SPA,"234B 5TH AVE., BROOKLYN, NY",(929) 337-8528,40.6756343,-73.9811611
SHANG HAI SPA,"241 5TH AVE., BROOKLYN, NY",(718) 788-8387,40.6749978,-73.98126
REEDCHY NAIL & SPA,"274 5TH AVE., BROOKLYN, NY",(718) 877-9009,40.6744257,-73.9821329
CICI NAIL INC.,"285 9TH ST., BROOKLYN, NY",(917) 907-0205,40.6697283,-73.986928
H & C CHINESE BODYWORK,"286 9TH ST., BROOKLYN, NY",(718) 499-0326,40.669670137931035,-73.98753596551724
PINK NAIL SPA,"313 5TH AVE., BROOKLYN, NY",,40.6729115,-73.982934
BODY WORK FOOT REFLEXOLOGY,"325 7TH ST., BROOKLYN, NY",(718) 788 2898,40.67063925,-73.98555410141509
5TH AND 5TH WELLNESS,"339 5TH ST., BROOKLYN, NY",(917) 379-3377,40.6715172,-73.9839065
IL GIGLIO NAILS AND SPA,"351 5TH AVE., BROOKLYN, NY",(718) 708-3088,40.6717189,-73.9839829
RED MOON WELLNESS,"405 5TH AVE. #2, BROOKLYN, NY",(347) 699-8751,40.6701542,-73.9852967
BLOOMIE NAIL SALON,"435 5TH AVE., BROOKLYN, NY",(718) 788-2378,40.6693767,-73.9859427
NAIL ON 5TH,"436 5TH AVE., BROOKLYN, NY",(929) 295-0143,40.6695448,-73.9862638
BLOSSOM BROWS,"319 9TH ST., BROOKLYN, NY",(718)499-1122,40.6691024,-73.9857243
BLOSSOM BROWS,"467 5TH AVE., BROOKLYN, NY",(718) 499-2233,40.6682284,-73.9868848
FIVE COLOR NAIL,"485 5TH AVE., BROOKLYN, NY",(718) 369-6922,40.66765188888889,-73.98744266666667
PARK SLOPE LASER AESTHETIC CENTER,"480 5TH AVE., BROOKLYN, NY",(646) 868-3634,40.6679519,-73.9875165
VIVI NAIL SALON 2,"463 5TH AVE., BROOKLYN, NY",(718) 832-2885,40.6683736,-73.9867689
VIVI NAIL SALON,"487 5TH AVE., BROOKLYN, NY",(718) 832-2886,40.6675921,-73.9874179
SHIRLY NAILS,"512 5TH AVE., BROOKLYN, NY",(718) 965-3063,40.667005,-73.9883158
AAR BEAUTY & HEALTH CENTER,"514 5TH AVE., BROOKLYN, NY",(718) 788-8866,40.6669695,-73.9883503
NICE NAILS SALON,"537 5TH AVE., BROOKLYN, NY",,40.6659517,-73.9887894
RAWAJ EYEBROW THREADING,"559 5TH AVE, BROOKLYN, NY",(347) 599-1266,40.6653722,-73.9892814
FIFTH AVE FITNESS,"42 5TH AVE., BROOKLYN, NY",(718) 789-8901,40.6818269,-73.9769569
AREA SWEAT & PLANTED PARK SLOPE,"45 5TH AVE., BROOKLYN, NY",(718) 230-7495,40.6815381,-73.976834
BODY TONIC PILATES GYMNASIUM,"150 5TH AVE., BROOKLYN, NY",(718) 622-2755,40.6782252,-73.9793972
PURE BARRE,"178 5TH AVE., BROOKLYN, NY",(718) 623-3600,40.67750325,-73.98010514697253
HARBOR HEALTH & FITNESS,"191 15TH ST., BROOKLYN, NY",(718) 965-6200,40.66601,-73.9899634
WAY OF ACTION TAE KWON DO,"316 7TH AVE. #2, BROOKLYN, NY",(718) 788-1968,40.6674245,-73.9813373
CAPOEIRA BROOKLYN,"316 7TH ST. #2, BROOKLYN, NY",(646) 492-4221,40.670402,-73.9856676
NY SPORTS CLUB,"324 9TH ST., BROOKLYN, NY",(718) 768-0880,40.6688355,-73.9860402
PROSPECT PARK YMCA,"357 9TH ST., BROOKLYN, NY",(718) 768-7100,40.66866075,-73.98446914891225
JUKEBOX NYC,"491 5TH AVE., BROOKLYN, NY",(718) 768-8755,40.6674908,-73.9875027
ROW HOUSE,"499 5TH AVE., BROOKLYN, NY",,40.667095950000004,-73.98767876729588
UNITED TAE KWON DO,"502 5TH AVE., BROOKLYN, NY",(718) 788-5700,40.6672546,-73.9881054
PARK SLOPE ACADEMY OF BRAZILIAN JIU-JITSU,"518 5TH AVE., BROOKLYN, NY",(718) 788-6990,40.6667427,-73.9885342
AMERI-KICK KARATE STUDIO,"529 5TH AVE., BROOKLYN, NY",(718) 768-8200,40.66631711111111,-73.98855888888889
CRUNCH,"555 5TH AVE. #2, BROOKLYN, NY",(718) 707-9400,40.6655948,-73.9890498
JAPAN KARATE ASSOCIATION OF BROOKLYN,"565 5TH AVE., BROOKLYN, NY",(718) 768-9345,40.6652212,-73.989328
ALIGN BROOKLYN,"579 5TH AVE., BROOKLYN, NY",(347) 875-0714,40.6647385,-73.9898041
PROMINIS MEDICAL OFFICE,"37 5TH AVE., BROOKLYN, NY",(718) 802-1110,40.68175405,-73.976584
BEE HEALTHY,"94 5TH AVE., BROOKLYN, NY",(718) 399-9600,40.680142149999995,-73.97823021796408
GENTLE DENTAL ASSOCIATES,"217 5TH AVE., BROOKLYN, NY",(718) 789-2400,40.6760121,-73.9805611
NURSES IN THE PARK INC.,"667 PRESIDENT ST, BROOKLYN, NY",(718) 832-0443,40.67572876923077,-73.98052407692307
PARK SLOPE FAMILY DENTISTRY,"245 5TH AVE., BROOKLYN, NY",(718) 789-5700,40.6749068,-73.9813332
STAND UP MRI,"308 5TH AVE., BROOKLYN, NY",(718) 768-7700,40.6733325,-73.9830281
NOVA PARKSLOPE MEDSPA,"326 7TH ST, BROOKLYN, NY",(718) 965-6594,40.6702376,-73.9852255
PARK SLOPE PHYSICIAN ASSOCIATES,"326 7TH ST, BROOKLYN, NY",(718) 965-1234,40.6702376,-73.9852255
PREMIER DENTISTRY,"328 9TH ST., BROOKLYN, NY",(347) 889-6040,40.6687579,-73.9858755
FULL-SPECTRUM TOUCH MASSAGE & BODY THERAPY,"343 5TH AVE, BROOKLYN, NY",(718) 789-2315,40.671883699999995,-73.983756419
BITESIZE PEDIATRIC DENTISTRY,"377 5TH AVE., BROOKLYN, NY",(917) 397-1341,40.671088399999995,-73.9845792
NY INTERVENTIONAL SPINE & PAIN MEDICINE,"405 5TH AVE., BROOKLYN, NY",(718) 965-1234,40.6701542,-73.9852967
CITYMD,"418-420 5TH AVE., BROOKLYN, NY",(718) 965-2273,40.670062333333334,-73.98569066666667
DENTAL 365,"422 5TH AVE., BROOKLYN, NY",(718) 832-1900,40.670009,-73.9858071
TRIBECA PEDIATRICS,"425 5TH AVE., BROOKLYN, NY",(718) 568-9220,40.6695797,-73.9857745
DENTAL CENTER OF PARK SLOPE,"328 9TH ST., BROOKLYN, NY",(718) 788-3168,40.6687579,-73.9858755
NEW YORK HAND SURGERY,"330 9TH ST., BROOKLYN, NY",(718) 369-4263,40.6687387,-73.9858282
A-Z DENTAL,"332 9TH STREET, BROOKLYN, NY",(718) 832-1222,40.6687175,-73.9857726
MEDICAL FOOT SURGICAL CARE,"338 9TH ST, BROOKLYN, NY",(718) 788-2290,40.66855215,-73.98550909587352
NOBLE DENTAL CARE PC,"340A 9TH ST., BROOKLYN, NY",(718) 965-1144,40.6685197,-73.9853757
